#BONDS
#ATOM#1	ATOM#2	Kb(Kcal/mol/A**2)	BOND_LENGTH(A)
CST	OST	937.96	1.1600	
OH1	CD	230.000	1.4000	
OH1	CT1	428.000	1.4200	
OH1	CT2	428.000	1.4200	
OH1	CT3	428.000	1.4200	
OH1	H	545.000	0.9600	
OM	CM	1115.000	1.1280	
OM	FE	250.000	1.8000	
OM	OM	600.000	1.2300	
OS	CD	150.000	1.3340	
OS	CT3	340.000	1.4300	
OT	HT	450.000	0.9572	
S	CT2	198.000	1.8180	
S	CT3	240.000	1.8160	
S	HS	275.000	1.3250	
SM	CT2	214.000	1.8160	
SM	CT3	214.000	1.8160	
SM	SM	173.000	2.0290	
SS	CS	205.000	1.8360	
NN	ON	485.17	1.264	
NN	CT1	182.65	1.444	
CE1	CT1	240.00	1.502	
CN8	NN6	200.000	1.480	
NN6	HN1	403.000	1.040	
ON6	CN8B	260.0	1.420	
CN8	CN8B	222.50	1.528	
CN3C	HN6	374.0	1.09	
CN3	HN6	350.0	1.09	
CN1	CN3	302.0	1.409	
CN1	CN3T	302.0	1.403	
CN1A	CN3	302.0	1.480	
CN1	CN5G	302.0	1.360	
CN1A	NN1	560.0	1.360	
CN1	NN2	380.0	1.367	
CN1T	NN2B	302.0	1.348	
CN1	NN2G	340.0	1.396	
CN1	NN2U	340.0	1.389	
CN1T	NN2U	340.0	1.383	
CN1	NN3	350.0	1.335	
CN1	ON1	660.0	1.234	
CN1A	ON1	860.0	1.230	
CN1T	ON1	860.0	1.230	
CN1	ON1C	620.0	1.245	
CN2	CN3	320.0	1.406	
CN2	CN3D	260.0	1.405	
CN2	CN5	360.0	1.358	
CN2	NN1	360.0	1.366	
CN2	NN2G	400.0	1.392	
CN2	NN3	450.0	1.343	
CN2	NN3A	400.0	1.342	
CN2	NN3G	320.0	1.326	
CN3	CN3	500.0	1.326	
CN3	CN3T	560.0	1.320	
CN3A	CN3	450.0	1.360	
CN3B	CN3	420.0	1.350	
CN3C	CN3	420.0	1.320	
CN3D	CN3	560.0	1.335	
CN3	CN8	222.5	1.490	
CN3D	CN9	230.0	1.480	
CN3T	CN9	230.0	1.478	
CN3	HN3	350.0	1.09	
CN3T	HN3	350.0	1.09	
CN3	HN3B	350.0	1.09	
CN3A	HN3B	350.0	1.09	
CN3B	HN3B	350.0	1.09	
CN3C	HN3	374.0	1.09	
CN3	NN2	302.0	1.343	
CN3	NN2B	320.0	1.343	
CN3B	NN2	420.0	1.315	
CN3C	NN2	420.0	1.355	
CN4	HN3	380.0	1.09	
CN4	NN2	320.0	1.374	
CN4	NN2B	300.0	1.378	
CN4	NN2G	350.0	1.365	
CN4	NN3A	420.0	1.322	
CN4	NN3I	450.0	1.295	
CN4	NN4	400.0	1.305	
CN5	CN5	310.0	1.361	
CN5	CN5G	320.0	1.350	
CN5	NN2	300.0	1.375	
CN5	NN2B	302.0	1.375	
CN5	NN3A	350.0	1.312	
CN5	NN3G	350.0	1.315	
CN5	NN3I	350.0	1.332	
CN5	NN4	310.0	1.355	
CN5G	NN4	310.0	1.365	
CN8	CN8	222.50	1.528	
CN8	CN9	222.50	1.528	
CN8	NN2	400.0	1.460	
CN8	ON5	428.0	1.42	
CN9	HN9	322.0	1.111	
CN9	ON2	340.0	1.43	
HN1	NN1	488.0	1.00	
HN2	NN2	474.0	1.01	
HN2	NN2B	474.0	1.01	
HN2	NN2G	471.0	1.01	
HN2	NN2U	474.0	1.01	
HN4	ON4	545.0	0.960	
ON2	P	270.0	1.60	
ON3	P	580.0	1.48	
ON4	P	237.0	1.58	
ON2	P2	300.0	1.68	
ON3	P2	480.0	1.53	
ON2	P3	300.0	1.68	
ON3	P3	480.0	1.53	
ON4	P3	237.0	1.58	
NN5	HN1	460.0	1.01	
CN7B	ON6	260.0	1.420	
CN7B	CN8	200.0	1.518	
CN7	ON6	240.0	1.446	
CN7	CN7	222.5	1.529			
CN7	CN8	222.5	1.516			
CN7	CN9	222.5	1.516			
CN7	HN7	309.0	1.111	
CN8	HN8	309.0	1.111	
CN7B	HN7	309.0	1.111	
CN7B	ON6B	260.0	1.420	
CN7	ON6B	240.0	1.480	
CN7B	CN7B	200.0	1.450	
CN7	CN7B	222.5	1.460	
CN7B	CN7C	200.0	1.518	
CN7	CN7C	222.5	1.516	
CN7C	HN7	309.0	1.111	
CN7	CN8B	222.5	1.512	
CN8B	ON2	320.0	1.44	
CN8B	ON5	428.0	1.42	
CN7	ON2	310.0	1.433	
CN7B	ON2	310.0	1.433	
CN7	ON5	428.0	1.42	
CN9	NN2	400.0	1.456	
CN8	NN2B	400.0	1.458	
CN9	NN2B	400.0	1.458	
CN7B	NN2	220.0	1.456	
CN7B	NN2B	220.0	1.458	
CN8B	HN8	309.0	1.111	
ON5	HN5	545.0	0.960	
CN7B	ON5	428.0	1.400	
CN7C	ON5	428.0	1.400	
CN8	ON2	340.0	1.44	
CN7B	NR1	220.000	1.4620	
CC31A	HCA1A	309.00	1.111	
CC32A	HCA2A	309.00	1.111	
CC33A	HCA3A	322.00	1.111	
CC30A	CC32A	222.50	1.538	
CC30A	CC33A	222.50	1.538	
CC31A	CC31A	222.50	1.500	
CC31A	CC32A	222.50	1.538	
CC31A	CC33A	222.50	1.538	
CC32A	CC32A	222.50	1.530	
CC32A	CC33A	222.50	1.528	
CC33A	CC33A	222.50	1.530	
CC325A	CC325A	195.00	1.548	
CC325A	HCA25A	307.00	1.116	
CC325B	OC305A	350.00	1.425	
CC325B	CC325B	195.00	1.518	
CC325B	HCA25A	307.00	1.100	
CC325B	CC33A	222.50	1.528	
CC32A	OC30A	360.00	1.415	
CC33A	OC30A	360.00	1.415	
CC326A	HCA2A	309.00	1.111	
CC326A	CC326A	222.50	1.530	
CC326A	OC30A	360.00	1.415	
#
#
#BOND_ANGLES
#ATOM#1	ATOM#2	#ATOM#3	Ktheta(Kcal/mol/rad**2)	THETA0(A)
OST	CST	OST	3000.00	180.0000	
CS	SS	FE	50.0	100.6	
SS	FE	NPH	100.0	90.0	
CA	CA	CA	40.000	120.00	
CE1	CE1	CT2	48.00	123.50	
CE1	CE1	CT3	48.00	123.50	
CE1	CT2	CT3	32.00	112.20	
CE2	CE1	CT2	48.00	126.00	
CE2	CE1	CT3	47.00	125.20	
CP1	N	C	60.000	117.0000	
CP2	CP1	C	52.000	112.3000	
CP2	CP1	CC	52.000	112.3000	
CP2	CP1	CD	50.000	112.3000	
CP2	CP2	CP1	70.000	108.5000	
CP3	CP2	CP2	70.000	108.5000	
CP3	N	C	60.000	117.0000	
CP3	N	CP1	100.000	114.2000	
CP3	NP	CP1	100.000	111.0000	
CPA	CPB	CE1	70.000	126.7400	
CPA	CPM	CPA	94.200	125.1200	
CPA	NPH	CPA	139.300	103.9000	
CPB	CE1	CE2	70.000	121.5000	
CPB	CPB	CE1	70.000	126.7500	
CPB	CPB	CPA	30.800	106.5100	
CPH2	NR1	CPH1	130.000	107.5000	
CPH2	NR2	CPH1	130.000	104.0000	
CPH2	NR3	CPH1	145.000	108.0000	
CPM	CPA	CPB	61.600	124.0700	
CPT	CA	CA	60.000	118.0000	
CPT	CPT	CA	60.000	122.0000	
CPT	CY	CA	120.000	107.40	
CPT	NY	CA	110.000	108.0000	
CT1	CT1	C	52.000	108.0000	
CT1	CT1	CC	52.000	108.0000	
CT1	CT1	CT1	53.350	111.00	
CT1	CT2	CA	51.800	107.5000	
CT1	CT2	CC	52.000	108.0000	
CT1	CT2	CD	52.000	108.0000	
CT1	CT2	CPH1	58.350	113.0000	
CT1	CT2	CT1	58.350	113.50	
CT1	NH1	C	50.000	120.0000	
CT2	CA	CA	45.800	122.3000	
CT2	CPB	CPA	65.000	126.7400	
CT2	CPB	CPB	65.000	126.7500	
CT2	CPH1	CPH1	45.800	130.0000	
CT2	CT1	C	52.000	108.0000	
CT2	CT1	CC	52.000	108.0000	
CT2	CT1	CD	52.000	108.0000	
CT2	CT1	CT1	53.350	111.00	
CT2	CT2	C	52.000	108.0000	
CT2	CT2	CC	52.000	108.0000	
CT2	CT2	CD	52.000	108.0000	
CT2	CT2	CPB	70.000	113.0000	
CT2	CT2	CT1	58.350	113.50	
CT2	CT2	CT2	58.350	113.60	
CT2	CT3	CT1	58.350	113.50	
CT2	CY	CA	45.800	129.4000	
CT2	CY	CPT	45.800	124.0000	
CT2	NC2	C	62.300	120.0000	
CT2	NH1	C	50.000	120.0000	
CT2	OS	CD	40.000	109.60	
CT3	CA	CA	45.800	122.3000	
CT3	CPB	CPA	65.000	126.7400	
CT3	CPB	CPB	65.000	126.7500	
CT3	CPH1	CPH1	45.800	130.0000	
CT3	CT1	C	52.000	108.0000	
CT3	CT1	CC	52.000	108.0000	
CT3	CT1	CT1	53.350	108.50	
CT3	CT1	CT2	53.350	114.00	
CT3	CT1	CT3	53.350	114.00	
CT3	CT2	CA	51.800	107.5000	
CT3	CT2	CPH1	58.350	113.0000	
CT3	CT2	CT1	58.350	113.50	
CT3	CT2	CT2	58.000	115.00	
CT3	CT2	CT3	53.350	114.00	
CT3	NC2	C	62.300	120.0000	
CT3	NH1	C	50.000	120.0000	
CT3	OS	CD	40.000	109.60	
CT3	S	CT2	34.000	95.0000	
CY	CPT	CA	160.000	130.6000	
CY	CPT	CPT	110.000	107.4000	
CY	CT2	CT1	58.350	114.0000	
CY	CT2	CT3	58.350	114.0000	
FE	NPH	CPA	96.150	128.0500	
FE	NR2	CPH1	30.000	133.0000	
FE	NR2	CPH2	30.000	123.0000	
H	NH1	C	34.000	123.0000	
H	NH1	CT1	35.000	117.0000	
H	NH1	CT2	35.000	117.0000	
H	NH1	CT3	35.000	117.0000	
H	NH2	CC	50.000	120.0000	
H	NH2	H	23.000	120.0000	
H	NR1	CPH1	30.000	125.50	
H	NR1	CPH2	30.000	127.00	
H	NR3	CPH1	25.000	126.00	
H	NR3	CPH2	25.000	126.00	
H	NY	CA	28.000	126.0000	
H	NY	CPT	28.000	126.0000	
H	OH1	CA	65.000	108.0000	
H	OH1	CD	55.000	115.0000	
H	OH1	CT1	57.500	106.0000	
H	OH1	CT2	57.500	106.0000	
H	OH1	CT3	57.500	106.0000	
HA	CA	CA	29.000	120.00	
HA	CA	CPT	41.000	122.0000	
HA	CA	CY	32.000	125.00	
HA	CP2	CP1	33.430	110.10	
HA	CP2	CP2	26.500	110.10	
HA	CP2	CP3	26.500	110.10	
HA	CP2	HA	35.500	109.00	
HA	CP3	CP2	26.500	110.10	
HA	CP3	HA	35.500	109.00	
HA	CPM	CPA	12.700	117.4400	
HA	CPM	FE	0.000	180.0000	
HA	CS	CT3	34.600	110.10	
HA	CS	HA	35.500	108.40	
HA	CT1	C	33.000	109.50	
HA	CT1	CD	33.000	109.50	
HA	CT1	CT1	34.500	110.10	
HA	CT1	CT2	34.500	110.10	
HA	CT1	CT3	34.500	110.10	
HA	CT1	HA	35.500	109.00	
HA	CT2	C	33.000	109.50	
HA	CT2	CA	49.300	107.5000	
HA	CT2	CC	33.000	109.50	
HA	CT2	CD	33.000	109.50	
HA	CT2	CE1	45.00	111.50	
HA	CT2	CPB	50.000	109.5000	
HA	CT2	CPH1	33.430	109.5000	
HA	CT2	CT1	33.430	110.10	
HA	CT2	CT2	26.500	110.10	
HA	CT2	CT3	34.600	110.10	
HA	CT2	CY	33.430	109.5000	
HA	CT2	HA	35.500	109.00	
HA	CT3	C	33.000	109.50	
HA	CT3	CA	49.300	107.5000	
HA	CT3	CC	33.000	109.50	
HA	CT3	CD	33.000	109.50	
HA	CT3	CE1	42.00	111.50	
HA	CT3	CPB	50.000	109.5000	
HA	CT3	CPH1	33.430	109.5000	
HA	CT3	CS	34.600	110.10	
HA	CT3	CT1	33.430	110.10	
HA	CT3	CT2	34.600	110.10	
HA	CT3	CT3	37.500	110.10	
HA	CT3	HA	35.500	108.40	
HA	CY	CA	20.000	126.40	
HA	CY	CPT	32.000	126.40	
HE1	CE1	CE1	52.00	119.50	
HE1	CE1	CE2	42.00	118.00	
HE1	CE1	CT2	40.00	116.00	
HE1	CE1	CT3	22.00	117.00	
HE1	CE1	CPB	50.000	120.0000	
HE2	CE2	CE1	45.00	120.50	
HE2	CE2	CE2	55.50	120.50	
HE2	CE2	HE2	19.00	119.00	
HB	CP1	C	50.000	112.0000	
HB	CP1	CC	50.000	112.0000	
HB	CP1	CD	50.000	112.0000	
HB	CP1	CP2	35.000	118.0000	
HB	CT1	C	50.000	109.5000	
HB	CT1	CC	50.000	109.5000	
HB	CT1	CD	50.000	109.5000	
HB	CT1	CT1	35.000	111.0000	
HB	CT1	CT2	35.000	111.0000	
HB	CT1	CT3	35.000	111.0000	
HB	CT2	C	50.000	109.5000	
HB	CT2	CC	50.000	109.5000	
HB	CT2	CD	50.000	109.5000	
HB	CT2	HB	36.000	115.0000	
HB	CT3	C	50.000	109.5000	
HC	NC2	C	49.000	120.0000	
HC	NC2	CT2	40.400	120.0000	
HC	NC2	CT3	40.400	120.0000	
HC	NC2	HC	25.000	120.0000	
HC	NH2	CT2	50.000	111.0000	
HC	NH2	CT3	50.000	111.0000	
HC	NH2	HC	39.000	106.5000	
HC	NH3	CT1	30.000	109.50	
HC	NH3	CT2	30.000	109.50	
HC	NH3	CT3	30.000	109.50	
HC	NH3	HC	44.000	109.5000	
HC	NP	CP1	33.000	109.50	
HC	NP	CP3	33.000	109.50	
HC	NP	HC	51.000	107.5000	
HP	CA	CA	30.000	120.00	
HP	CA	CPT	30.000	122.00	
HP	CA	CY	32.000	125.00	
HP	CY	CA	32.000	126.40	
HP	CY	CPT	32.000	126.40	
HR1	CPH1	CPH1	22.000	130.00	
HR3	CPH1	CPH1	25.000	130.00	
HS	S	CT2	38.800	95.0000	
HS	S	CT3	43.000	95.0000	
HT	OT	HT	55.000	104.5200	
N	C	CP1	20.000	112.5000	
N	C	CT1	20.000	112.5000	
N	C	CT2	20.000	112.5000	
N	C	CT3	20.000	112.5000	
N	CP1	C	50.000	108.2000	
N	CP1	CC	50.000	108.2000	
N	CP1	CD	50.000	108.2000	
N	CP1	CP2	70.000	110.8000	
N	CP1	HB	48.000	112.0000	
N	CP3	CP2	70.000	110.5000	
N	CP3	HA	48.000	108.0000	
NC2	C	NC2	52.000	120.00	
NC2	CT2	CT2	67.700	107.5000	
NC2	CT2	HA	51.500	107.5000	
NC2	CT3	HA	51.500	107.5000	
NH1	C	CP1	80.000	116.5000	
NH1	C	CT1	80.000	116.5000	
NH1	C	CT2	80.000	116.5000	
NH1	C	CT3	80.000	116.5000	
NH1	CT1	C	50.000	107.0000	
NH1	CT1	CC	50.000	107.0000	
NH1	CT1	CD	50.000	107.0000	
NH1	CT1	CT1	70.000	113.5000	
NH1	CT1	CT2	70.000	113.5000	
NH1	CT1	CT3	70.000	113.5000	
NH1	CT1	HB	48.000	108.0000	
NH1	CT2	C	50.000	107.0000	
NH1	CT2	CC	50.000	107.0000	
NH1	CT2	CD	50.000	107.0000	
NH1	CT2	CT2	70.000	113.5000	
NH1	CT2	HA	51.500	109.5000	
NH1	CT2	HB	48.000	108.0000	
NH1	CT3	HA	51.500	109.5000	
NH2	CC	CP1	80.000	112.5000	
NH2	CC	CT1	50.000	116.50	
NH2	CC	CT2	50.000	116.50	
NH2	CC	CT3	50.000	116.50	
NH2	CC	HA	44.000	111.00	
NH2	CT2	HA	38.000	109.50	
NH2	CT2	HB	38.000	109.50	
NH2	CT2	CD	52.000	108.0000	
NH2	CT2	CT2	67.700	110.0000	
NH2	CT3	HA	38.000	109.50	
NH3	CT1	C	43.700	110.0000	
NH3	CT1	CC	43.700	110.0000	
NH3	CT1	CT1	67.700	110.0000	
NH3	CT1	CT2	67.700	110.0000	
NH3	CT1	CT3	67.700	110.0000	
NH3	CT1	HB	51.500	107.5000	
NH3	CT2	C	43.700	110.0000	
NH3	CT2	CC	43.700	110.0000	
NH3	CT2	CD	43.700	110.0000	
NH3	CT2	CT2	67.700	110.0000	
NH3	CT2	HA	45.000	107.50	
NH3	CT2	HB	51.500	107.5000	
NH3	CT3	HA	45.000	107.50	
NP	CP1	C	50.000	106.0000	
NP	CP1	CC	50.000	106.0000	
NP	CP1	CD	50.000	106.0000	
NP	CP1	CP2	70.000	108.5000	
NP	CP1	HB	51.500	107.5000	
NP	CP3	CP2	70.000	108.5000	
NP	CP3	HA	51.500	109.1500	
NPH	CPA	CPB	122.000	111.5400	
NPH	CPA	CPM	88.000	124.3900	
NPH	FE	CM	50.000	90.0000	
NPH	FE	CPM	0.000	45.0000	
NPH	FE	NPH	14.390	90.0000	
NR1	CPH1	CPH1	130.000	106.0000	
NR1	CPH1	CT2	45.800	124.0000	
NR1	CPH1	CT3	45.800	124.0000	
NR1	CPH1	HR3	25.000	124.00	
NR1	CPH2	HR1	25.000	122.50	
NR2	CPH1	CPH1	130.000	110.0000	
NR2	CPH1	CT2	45.800	120.0000	
NR2	CPH1	HR3	25.000	120.00	
NR2	CPH2	HR1	25.000	125.00	
NR2	CPH2	NR1	130.000	112.5000	
NR2	FE	CM	50.000	180.0000	
NR2	FE	NPH	50.000	90.0000	
NR3	CPH1	CPH1	145.000	108.0000	
NR3	CPH1	CT2	45.800	122.0000	
NR3	CPH1	HR1	22.000	122.00	
NR3	CPH2	HR2	32.000	126.00	
NR3	CPH2	NR3	145.000	108.0000	
NY	CA	CY	120.000	110.00	
NY	CA	HA	32.000	125.00	
NY	CA	HP	32.000	125.00	
NY	CPT	CA	160.000	130.6000	
NY	CPT	CPT	110.000	107.4000	
O	C	CP1	80.000	118.0000	
O	C	CT1	80.000	121.0000	
O	C	CT2	80.000	121.0000	
O	C	CT3	80.000	121.0000	
O	C	H	50.000	121.7000	
O	C	N	80.000	122.5000	
O	C	NH1	80.000	122.5000	
O	CC	CP1	80.000	118.0000	
O	CC	CT1	15.000	121.00	
O	CC	CT2	15.000	121.00	
O	CC	CT3	15.000	121.00	
O	CC	HA	44.000	122.0000	
O	CC	NH2	75.000	122.50	
OB	CD	CP1	70.000	125.00	
OB	CD	CT1	70.000	125.00	
OB	CD	CT2	70.000	125.00	
OB	CD	CT3	70.000	125.00	
OC	CA	CA	40.000	120.0000	
OC	CC	CP1	40.000	118.00	
OC	CC	CT1	40.000	118.00	
OC	CC	CT2	40.000	118.00	
OC	CC	CT3	40.000	118.00	
OC	CC	OC	100.000	124.00	
OC	CT2	CT3	65.000	122.0000	
OC	CT2	HA	65.000	118.3000	
OC	CT3	HA	65.000	118.3000	
OH1	CA	CA	45.200	120.0000	
OH1	CD	CT2	55.000	110.5000	
OH1	CD	CT3	55.000	110.5000	
OH1	CD	OB	50.000	123.00	
OH1	CT1	CT1	75.700	110.1000	
OH1	CT1	CT3	75.700	110.1000	
OH1	CT1	HA	45.900	108.8900	
OH1	CT2	CT1	75.700	110.1000	
OH1	CT2	CT2	75.700	110.1000	
OH1	CT2	CT3	75.700	110.1000	
OH1	CT2	HA	45.900	108.8900	
OH1	CT3	HA	45.900	108.8900	
OM	CM	FE	35.000	180.0000	
OM	FE	NPH	5.000	90.0000	
OM	OM	FE	0.000	180.0000	
OS	CD	CP1	55.000	109.00	
OS	CD	CT1	55.000	109.00	
OS	CD	CT2	55.000	109.00	
OS	CD	CT3	55.000	109.00	
OS	CD	OB	90.000	125.90	
OS	CT2	HA	60.000	109.5000	
OS	CT3	HA	60.000	109.5000	
S	CT2	CT1	58.000	112.5000	
S	CT2	CT2	58.000	114.5000	
S	CT2	CT3	58.000	114.5000	
S	CT2	HA	46.100	111.3000	
S	CT3	HA	46.100	111.3000	
SM	CT2	CT1	58.000	112.5000	
SM	CT2	HA	38.000	111.0000	
SM	CT3	HA	38.000	111.0000	
SM	SM	CT2	72.500	103.3000	
SM	SM	CT3	72.500	103.3000	
SS	CS	CT3	55.000	118.0000	
SS	CS	HA	40.000	112.3000	
CT1	NN	ON	45.12	115.52	
CT1	NN	CT1	38.60	119.08	
NN	CT1	CT3	51.55	104.19	
NN	CT1	CT2	51.55	104.19	
NN	CT1	CT1	51.55	104.19	
NN	CT1	CE1	64.23	103.75	
CT1	CE1	CT2	45.15	112.75	
CT1	CE1	CT3	45.15	112.75	
HE1	CE1	CT1	30.66	103.41	
CT3	CT1	CE1	32.49	112.20	
CE1	CE1	CT1	48.00	123.50	
CT3	CT1	CT3	58.350	113.50	
SM	CT2	CE1	58.000	112.5000	
CT3	CE1	CT2	42.63	112.34	
CN7	CN8	CN8	58.35	113.60	
CN8	CN7	CN8	58.35	113.60	
CN8	CN8	CN8	58.35	113.60	
HN1	NN6	CN8	30.00	109.50	
NN6	CN8	HN8	45.00	107.50	
CN7	CN8	ON2	115.00	109.70	
NN6	CN8	CN8	67.70	110.00	
HN1	NN6	HN1	44.00	109.50	
ON2	CN8	CN8	115.0	109.7	
CN7	ON6	CN8B	110.0	109.0	
ON6	CN8B	CN8	90.0	106.0	
CN8B	CN8	CN7	80.0	106.0	
ON6	CN8B	HN8	45.2	107.24	
HN8	CN8B	CN8	34.53	110.10	
HN8	CN8	CN8B	34.53	110.10	
NN2	CN3C	HN6	42.0	119.0	
HN6	CN3C	CN3	42.0	119.0	
HN6	CN3	CN8	30.0	116.0	
CN3C	CN3	HN6	42.0	119.0	
CN2	NN3A	CN4	90.0	117.8	
NN3A	CN4	NN3A	60.0	133.0	
CN4	NN3A	CN5	90.0	110.1	
CN5	CN5	NN3A	60.0	127.4	
CN2	CN5	CN5	60.0	121.0	
CN5	CN2	NN3A	60.0	110.7	
CN5	CN5	NN2	100.0	105.7	
CN5	CN5	NN4	100.0	110.0	
CN4	NN4	CN5	120.0	104.6	
NN2	CN4	NN4	100.0	113.4	
CN4	NN2	CN5	100.0	106.3	
NN2	CN5	NN3A	100.0	126.9	
CN2	CN5	NN4	100.0	129.0	
HN3	CN4	NN3A	38.0	113.5	
NN3A	CN2	NN1	50.0	130.7	
CN5	CN2	NN1	50.0	118.6	
CN2	NN1	HN1	40.0	121.5	
HN1	NN1	HN1	31.0	117.0	
NN4	CN4	HN3	39.0	124.8	
NN2	CN4	HN3	39.0	121.8	
CN5	NN2	HN2	30.0	129.4	
CN4	NN2	HN2	30.0	125.0	
CN1	NN2G	CN2	70.0	131.1	
NN2G	CN2	NN3G	70.0	122.2	
CN2	NN3G	CN5	90.0	109.4	
CN5G	CN5	NN3G	70.0	129.9	
CN1	CN5G	CN5	70.0	119.6	
CN5G	CN1	NN2G	70.0	107.8	
CN5G	CN5	NN2B	100.0	104.6	
CN5	CN5G	NN4	100.0	111.4	
CN4	NN4	CN5G	120.0	103.8	
NN2B	CN4	NN4	100.0	113.0	
CN4	NN2B	CN5	100.0	107.2	
NN2B	CN5	NN3G	140.0	125.5	
CN1	CN5G	NN4	125.0	129.0	
CN1	NN2G	HN2	45.0	113.3	
CN2	NN2G	HN2	45.0	115.6	
NN1	CN2	NN2G	95.0	115.4	
NN1	CN2	NN3G	95.0	122.4	
NN2G	CN1	ON1	50.0	127.5	
CN5G	CN1	ON1	50.0	124.7	
HN3	CN4	NN2B	40.0	122.2	
CN4	NN2B	HN2	30.0	124.6	
CN5	NN2B	HN2	30.0	129.3	
CN1	NN2	CN3	50.0	124.1	
NN2	CN1	NN3	50.0	116.8	
CN1	NN3	CN2	85.0	119.1	
CN3	CN2	NN3	85.0	119.3	
CN2	CN3	CN3	85.0	117.8	
CN3	CN3	NN2	85.0	122.9	
CN1	NN2	HN2	37.0	121.2	
CN3	NN2	HN2	37.0	114.7	
NN2	CN1	ON1C	130.0	119.4	
NN3	CN1	ON1C	130.0	123.8	
NN3	CN2	NN1	81.0	122.3	
CN3	CN2	NN1	81.0	118.4	
